time,position,temperature,voltage
09-Nov-2023 16:13:31,499,29,7381
09-Nov-2023 16:13:31,499,29,7363
09-Nov-2023 16:13:32,499,29,7383
09-Nov-2023 16:13:32,500,29,7363
09-Nov-2023 16:13:32,500,29,7372
09-Nov-2023 16:13:32,499,29,7372
09-Nov-2023 16:13:32,500,29,7368
09-Nov-2023 16:13:33,500,29,7336
09-Nov-2023 16:13:33,500,29,7354
09-Nov-2023 16:13:33,499,29,7334
09-Nov-2023 16:13:33,499,29,7392
09-Nov-2023 16:13:33,498,29,7376
09-Nov-2023 16:13:34,500,29,7359
09-Nov-2023 16:13:34,499,29,7330
09-Nov-2023 16:13:34,499,29,7341
09-Nov-2023 16:13:34,499,29,7383
09-Nov-2023 16:13:34,499,29,7361
09-Nov-2023 16:13:35,499,29,7379
09-Nov-2023 16:13:35,500,29,7368
09-Nov-2023 16:13:35,499,29,7363
09-Nov-2023 16:13:35,499,29,7385
09-Nov-2023 16:13:35,498,29,7359
09-Nov-2023 16:13:36,499,29,7403
09-Nov-2023 16:13:36,500,29,7365
09-Nov-2023 16:13:36,499,29,7368
09-Nov-2023 16:13:36,499,29,7370
09-Nov-2023 16:13:36,498,29,7394
09-Nov-2023 16:13:37,499,29,7370
09-Nov-2023 16:13:37,499,29,7372
09-Nov-2023 16:13:37,499,29,7390
09-Nov-2023 16:13:37,499,29,7359
09-Nov-2023 16:13:37,499,29,7383
09-Nov-2023 16:13:38,500,29,7363
09-Nov-2023 16:13:38,499,29,7379
09-Nov-2023 16:13:38,500,29,7336
09-Nov-2023 16:13:38,499,29,7394
09-Nov-2023 16:13:38,499,29,7374
09-Nov-2023 16:13:39,499,29,7352
09-Nov-2023 16:13:39,500,29,7370
09-Nov-2023 16:13:39,499,29,7401
09-Nov-2023 16:13:39,499,29,7361
09-Nov-2023 16:13:39,500,29,7394
09-Nov-2023 16:13:40,500,29,7379
09-Nov-2023 16:13:40,499,29,7379
09-Nov-2023 16:13:40,499,29,7334
09-Nov-2023 16:13:40,499,29,7361
09-Nov-2023 16:13:40,500,29,7365
09-Nov-2023 16:13:41,499,29,7381
09-Nov-2023 16:13:41,499,29,7365
09-Nov-2023 16:13:41,499,29,7376
09-Nov-2023 16:13:41,499,29,7379
09-Nov-2023 16:13:42,500,29,7354
09-Nov-2023 16:13:42,500,29,7368
09-Nov-2023 16:13:42,498,29,7359
09-Nov-2023 16:13:42,500,29,7368
09-Nov-2023 16:13:42,499,29,7376
09-Nov-2023 16:13:43,499,29,7348
09-Nov-2023 16:13:43,499,29,7385
09-Nov-2023 16:13:43,499,29,7356
09-Nov-2023 16:13:43,500,29,7361
09-Nov-2023 16:13:43,498,29,7381
09-Nov-2023 16:13:44,499,29,7363
