timestamp,position,command,time_since_start,position_degree
1658379012.1175263,501.0,0.0,0.0,120.24
1658379012.1275568,501.0,0.0,0.010030508041381836,120.24
1658379012.1374476,501.0,0.0,0.019921302795410156,120.24
1658379012.147467,501.0,0.0,0.02994060516357422,120.24
1658379012.1577046,501.0,0.0,0.04017829895019531,120.24
1658379012.1675937,501.0,0.0,0.05006742477416992,120.24
1658379012.1774874,501.0,0.0,0.05996108055114746,120.24
1658379012.1876788,501.0,0.0,0.07015252113342285,120.24
1658379012.1975708,501.0,0.0,0.08004450798034668,120.24
1658379012.2075367,501.0,0.0,0.09001040458679199,120.24
1658379012.2175014,501.0,0.0,0.0999751091003418,120.24
1658379012.2275732,501.0,0.0,0.1100468635559082,120.24
1658379012.2374609,501.0,0.0,0.1199345588684082,120.24
1658379012.2475646,501.0,0.0,0.13003826141357422,120.24
1658379012.2574918,501.0,0.0,0.13996553421020508,120.24
1658379012.26748,501.0,0.0,0.14995360374450684,120.24
1658379012.2774944,501.0,0.0,0.15996813774108887,120.24
1658379012.2875993,501.0,0.0,0.1700730323791504,120.24
1658379012.2975864,501.0,0.0,0.18006014823913574,120.24
1658379012.3075852,501.0,0.0,0.19005894660949707,120.24
1658379012.3176286,501.0,0.0,0.2001023292541504,120.24
1658379012.327557,501.0,0.0,0.21003079414367676,120.24
1658379012.337468,501.0,0.0,0.2199416160583496,120.24
1658379012.3475435,501.0,0.0,0.23001718521118164,120.24
1658379012.3577054,501.0,0.0,0.24017906188964844,120.24
1658379012.3676093,501.0,0.0,0.25008296966552734,120.24
1658379012.3776615,501.0,0.0,0.2601351737976074,120.24
1658379012.387593,501.0,0.0,0.2700667381286621,120.24
1658379012.3975117,501.0,0.0,0.2799854278564453,120.24
1658379012.4076517,501.0,0.0,0.29012537002563477,120.24
1658379012.417634,501.0,0.0,0.3001077175140381,120.24
1658379012.427671,501.0,0.0,0.31014466285705566,120.24
1658379012.4373846,501.0,0.0,0.3198583126068115,120.24
1658379012.4475489,501.0,0.0,0.33002257347106934,120.24
1658379012.4575188,501.0,0.0,0.3399925231933594,120.24
1658379012.467395,501.0,0.0,0.3498687744140625,120.24
1658379012.4774942,501.0,0.0,0.3599679470062256,120.24
1658379012.4876401,501.0,0.0,0.3701138496398926,120.24
1658379012.497602,501.0,0.0,0.38007569313049316,120.24
1658379012.5074246,501.0,0.0,0.38989830017089844,120.24
1658379012.5174744,501.0,0.0,0.3999481201171875,120.24
1658379012.5276136,501.0,0.0,0.41008734703063965,120.24
1658379012.5373933,501.0,0.0,0.41986703872680664,120.24
1658379012.5475352,501.0,0.0,0.4300088882446289,120.24
1658379012.5575342,501.0,0.0,0.44000792503356934,120.24
1658379012.5674624,501.0,0.0,0.4499361515045166,120.24
1658379012.5774572,501.0,0.0,0.4599308967590332,120.24
1658379012.5876899,501.0,0.0,0.47016358375549316,120.24
1658379012.5975134,501.0,0.0,0.47998714447021484,120.24
1658379012.6074228,501.0,0.0,0.4898965358734131,120.24
1658379012.6174462,501.0,0.0,0.4999198913574219,120.24
1658379012.6276643,501.0,0.0,0.5101380348205566,120.24
1658379012.6373835,501.0,0.0,0.5198571681976318,120.24
1658379012.647445,501.0,0.0,0.5299186706542969,120.24
1658379012.6575632,501.0,0.0,0.5400369167327881,120.24
1658379012.6675766,501.0,0.0,0.5500502586364746,120.24
1658379012.6774757,501.0,0.0,0.5599493980407715,120.24
1658379012.6878104,501.0,0.0,0.5702841281890869,120.24
1658379012.6975842,501.0,0.0,0.5800578594207764,120.24
1658379012.7074795,501.0,0.0,0.5899531841278076,120.24
1658379012.7174788,501.0,0.0,0.5999524593353271,120.24
1658379012.727668,501.0,0.0,0.6101417541503906,120.24
1658379012.737447,501.0,0.0,0.6199207305908203,120.24
1658379012.7474678,501.0,0.0,0.629941463470459,120.24
1658379012.757518,501.0,0.0,0.6399917602539062,120.24
1658379012.767559,501.0,0.0,0.6500327587127686,120.24
1658379012.7774668,501.0,0.0,0.6599404811859131,120.24
1658379012.7876186,501.0,0.0,0.6700923442840576,120.24
1658379012.7976663,501.0,0.0,0.6801400184631348,120.24
1658379012.8075264,501.0,0.0,0.690000057220459,120.24
1658379012.8174639,501.0,0.0,0.6999375820159912,120.24
1658379012.8276408,501.0,0.0,0.7101144790649414,120.24
1658379012.8375418,501.0,0.0,0.7200155258178711,120.24
1658379012.8474376,501.0,0.0,0.7299113273620605,120.24
1658379012.8575394,501.0,0.0,0.7400131225585938,120.24
1658379012.8675628,501.0,0.0,0.7500364780426025,120.24
1658379012.877454,501.0,0.0,0.7599277496337891,120.24
1658379012.887583,501.0,0.0,0.7700567245483398,120.24
1658379012.8974562,501.0,0.0,0.7799298763275146,120.24
1658379012.9075165,501.0,0.0,0.7899901866912842,120.24
1658379012.9174137,501.0,0.0,0.7998874187469482,120.24
1658379012.927569,501.0,0.0,0.8100426197052002,120.24
1658379012.9374988,501.0,0.0,0.8199725151062012,120.24
1658379012.9475458,501.0,0.0,0.830019474029541,120.24
1658379012.9575129,501.0,0.0,0.8399865627288818,120.24
1658379012.9675963,501.0,0.0,0.8500699996948242,120.24
1658379012.977514,501.0,0.0,0.859987735748291,120.24
1658379012.9877062,501.0,0.0,0.8701798915863037,120.24
1658379012.997406,501.0,0.0,0.8798797130584717,120.24
1658379013.007443,501.0,0.0,0.8899166584014893,120.24
1658379013.0174882,501.0,0.0,0.8999619483947754,120.24
1658379013.0276468,501.0,0.0,0.9101204872131348,120.24
1658379013.0373776,501.0,0.0,0.9198513031005859,120.24
