timestamp,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6,time_since_start
1658381898.7109215,10.559999999999999,121.68,24.479999999999997,152.4,83.52,121.68,0.0
1658381898.8108826,10.559999999999999,121.44,24.479999999999997,152.4,83.75999999999999,121.68,0.023990650177001954
1658381898.9110208,10.559999999999999,121.68,24.479999999999997,152.4,83.52,121.68,0.0480238151550293
1658381899.0109317,10.559999999999999,121.44,24.479999999999997,152.4,83.52,121.68,0.07200244903564454
1658381899.110916,10.559999999999999,121.44,24.479999999999997,152.4,83.52,121.68,0.09599864959716797
1658381899.2109556,10.559999999999999,121.44,24.479999999999997,152.4,83.52,121.68,0.12000818252563478
1658381899.3108976,10.559999999999999,121.68,24.479999999999997,152.16,83.52,121.68,0.14399425506591795
1658381899.410908,10.559999999999999,121.44,24.479999999999997,152.16,83.52,121.68,0.1679967498779297
1658381899.5108786,10.559999999999999,121.44,24.479999999999997,152.16,83.52,121.44,0.19198968887329101
1658381899.6108744,10.559999999999999,121.44,24.479999999999997,152.16,83.52,121.68,0.21598869323730469
1658381899.7108943,10.559999999999999,121.44,24.479999999999997,152.4,83.75999999999999,121.68,0.23999347686767575
1658381899.8108716,10.559999999999999,121.68,24.479999999999997,152.16,83.52,121.68,0.26398801803588867
1658381899.9109359,10.559999999999999,121.44,24.479999999999997,152.4,83.52,121.44,0.28800344467163086
1658381900.0109208,10.559999999999999,121.68,24.479999999999997,152.4,83.52,121.68,0.3119998168945312
1658381900.1109283,10.559999999999999,121.44,24.479999999999997,152.4,83.75999999999999,121.68,0.33600162506103515
1658381900.2110064,10.559999999999999,121.68,24.479999999999997,152.4,83.75999999999999,121.44,0.3600203704833984
1658381900.311021,10.559999999999999,121.68,24.479999999999997,152.4,83.52,121.68,0.38402389526367187
1658381900.4108555,10.559999999999999,121.44,24.479999999999997,152.4,83.75999999999999,121.68,0.40798416137695315
1658381900.5108764,10.559999999999999,121.44,24.479999999999997,152.16,83.52,121.68,0.43198917388916014
1658381900.6111422,10.559999999999999,121.44,24.479999999999997,152.16,83.52,121.68,0.45605295181274413
1658381900.7109501,10.559999999999999,121.68,24.479999999999997,152.16,83.52,121.68,0.48000686645507806
1658381900.8108943,10.559999999999999,121.44,24.479999999999997,152.4,83.75999999999999,121.68,0.5039934539794922
1658381900.9109843,10.559999999999999,121.44,24.479999999999997,152.4,83.52,121.68,0.5280150604248047
1658381901.0109544,10.559999999999999,121.68,24.479999999999997,152.4,83.52,121.68,0.552007884979248
1658381901.110857,10.559999999999999,121.68,24.479999999999997,152.16,83.75999999999999,121.68,0.5759845161437988
1658381901.2108414,10.559999999999999,121.44,24.479999999999997,152.16,83.52,121.44,0.5999807739257813
1658381901.3108559,10.559999999999999,121.68,24.479999999999997,152.16,83.75999999999999,121.44,0.6239842414855957
1658381901.4108555,10.559999999999999,121.44,24.479999999999997,152.4,83.75999999999999,121.44,0.647984161376953
1658381901.5108604,10.559999999999999,121.44,24.479999999999997,152.4,83.52,121.68,0.6719853401184082
1658381901.6108904,10.559999999999999,121.44,24.479999999999997,152.4,83.52,121.68,0.6959925270080567
1658381901.7108622,10.559999999999999,121.68,24.479999999999997,152.16,83.52,121.68,0.7199857521057129
1658381901.810842,10.559999999999999,121.68,24.479999999999997,152.4,83.75999999999999,121.68,0.7439809226989746
1658381901.9110198,10.559999999999999,121.44,24.479999999999997,152.4,83.52,121.68,0.7680235862731933
1658381902.0109308,10.559999999999999,121.68,24.479999999999997,152.16,83.75999999999999,121.68,0.7920022201538086
1658381902.1109645,10.559999999999999,121.44,24.479999999999997,152.16,83.75999999999999,121.68,0.8160103225708008
1658381902.2109556,10.559999999999999,121.68,24.479999999999997,152.16,83.52,121.68,0.8400081825256348
1658381902.3109837,10.559999999999999,121.44,24.479999999999997,152.16,83.52,121.44,0.8640149116516113
1658381902.4108877,10.559999999999999,121.44,27.84,152.16,83.52,121.68,0.887991886138916
1658381902.5109618,16.32,121.44,36.48,150.0,85.44,121.68,0.9120096588134765
1658381902.610934,28.32,121.44,46.56,146.88,89.03999999999999,121.68,0.9360029983520508
1658381902.7110069,39.36,120.96000000000001,55.440000000000005,144.0,92.4,121.68,0.9600204849243165
1658381902.8109965,49.919999999999995,121.2,65.04,140.88,96.0,121.44,0.9840180015563964
1658381902.9108765,61.68,121.92,74.16,137.51999999999998,99.83999999999999,121.44,1.0079891967773438
1658381903.0109186,73.44,120.72,84.0,133.92000000000002,103.67999999999999,121.44,1.0319993019104003
1658381903.1109593,84.96,120.72,93.84,130.8,107.04,120.96000000000001,1.0560090637207031
1658381903.2108564,96.24000000000001,120.96000000000001,103.67999999999999,126.96000000000001,111.60000000000001,120.72,1.0799843788146974
1658381903.3108406,108.0,120.48,113.28,123.36,114.96,120.96000000000001,1.1039805793762207
1658381903.4108756,116.64,120.72,119.76,120.72,118.8,120.96000000000001,1.1279889678955077
1658381903.5109472,117.84,120.72,120.0,120.48,118.56,120.96000000000001,1.1520061683654785
1658381903.6110203,117.84,120.72,119.76,120.72,118.08,120.96000000000001,1.1760237121582031
1658381903.7109702,118.08,120.72,119.76,120.48,118.08,120.72,1.2000116729736328
1658381903.810893,117.84,120.72,119.76,120.72,118.8,120.96000000000001,1.2239931678771971
1658381903.9112117,117.84,120.72,119.76,120.48,118.8,120.96000000000001,1.248069648742676
1658381904.0108554,118.08,120.72,119.76,120.48,118.8,120.72,1.2719841384887696
1658381904.1109955,118.08,120.72,119.76,120.72,118.8,120.96000000000001,1.2960177612304686
