Motor,Training Features,Classifier,Accuracy,Precision,Recall,F1 Score
1,temperature,LogReg,0.9362017804154302,0.639261744966443,1.0,0.7799385875127942
2,solo_motor,LogReg,0.6041543026706232,0.0439024390243902,0.0614334470989761,0.0512091038406827
3,solo_motor,LogReg,0.8,0.3316953316953317,0.675,0.4448105436573311
4,all_num,LogReg,0.9017804154302672,0.6442953020134228,0.6260869565217392,0.6350606394707828
5,solo_temperature,LogReg,0.8148367952522255,0.4275229357798165,1.0,0.5989717223650386
6,solo_motor,LogReg,0.5397626112759644,0.2095238095238095,0.7276264591439688,0.3253588516746411
